Course Label,Name,CH,Tags
CSCE 101,Fundamentals of Computer Science,3,"computer science, computing, fundamentals, logic"
CSCE 101L,Fundamentals of Computing Lab,3,"computer science, computing, lab, logic, application"
CSCE 155A,Computer Science I,3,"computer science, programming, software development, logic"
CSCE 155E,Computer Science I: Systems Engineering,3,"computer science, programming, systems engineering, logic"
CSCE 155N,Computer Science I: Engineering & Science,3,"computer science, programming, engineering, science, matlab"
CSCE 155T,Computer Science I: Informatics,3,"computer science, programming, informatics, data"
CSCE 156,Computer Science II,3,"computer science, programming, data structures, algorithms"
CSCE 156H,Honors: Computer Science II,3,"computer science, honors, programming, data structures, algorithms"
CSCE 164,Introduction to Computer Engineering,3,"computer engineering, hardware, systems, computing"
CSCE 192,Special Topics,3,"computer science, special topics, computing"
CSCE 194,Independent Study Computing,3,"computer science, independent study, research, computing"
CSCE 230,Computer Organization,3,"computer engineering, architecture, hardware, computing"
CSCE 231,Computer Systems Engineering,3,"computer engineering, systems, hardware, computing"
CSCE 235,Introduction to Discrete Structures,3,"computer science, discrete math, logic, algorithms, math"
CSCE 235H,Honors: Introduction to Discrete Structures,3,"computer science, honors, discrete math, logic, math"
CSCE 251,Unix Programming,3,"computer science, programming, unix, operating systems"
CSCE 310,Data Structures and Algorithms,3,"computer science, data structures, algorithms, programming, logic"
CSCE 311,Data Structures and Algorithms: Informatics,3,"computer science, data structures, algorithms, informatics"
CSCE 322,Programming Language Concepts,3,"computer science, programming languages, theory, logic"
CSCE 352,Exploring Virtual Reality,3,"computer science, virtual reality, media arts, technology"
CSCE 360,Software Security in Practice,3,"computer science, software engineering, security, cybersecurity, application"
CSCE 361,Software Engineering,3,"computer science, software engineering, development, teamwork"
CSCE 361H,Honors: Software Engineering,3,"computer science, honors, software engineering, development"
CSCE 399,Undergraduate Thesis,3,"computer science, thesis, research, capstone"
CSCE 399H,Honors Thesis,3,"computer science, honors, thesis, research, capstone"
CSCE 402H,Honors: Design Studio II,3,"raikes, honors, design studio, project, computing"
CSCE 404H,Honors: Design Studio IV,3,"raikes, honors, design studio, project, computing"
CSCE 410,Information Retrieval Systems,3,"computer science, information retrieval, data, search algorithms"
CSCE 421,Foundations of Constraint Processing,3,"computer science, constraints, algorithms, theory, logic"
CSCE 423,Design and Analysis of Algorithms,3,"computer science, algorithms, design, analysis, theory"
CSCE 430,Computer Architecture,3,"computer engineering, architecture, hardware, systems"
CSCE 436,Advanced Embedded Systems,3,"computer engineering, embedded systems, hardware, robotics"
CSCE 451,Operating Systems Principles,3,"computer science, operating systems, software, computing"
CSCE 455,Distributed Operating Systems,3,"computer science, operating systems, distributed systems, computing"
CSCE 462,Communication Networks,3,"computer engineering, networks, communication, internet"
CSCE 463,Data and Network Security,3,"computer science, cybersecurity, security, networks, data"
CSCE 464,Internet Systems and Programming,3,"computer science, internet, programming, web development"
CSCE 468,Requirements Elicitation and Modeling,3,"computer science, software engineering, requirements, modeling"
CSCE 474,Introduction to Data Mining,3,"computer science, data mining, data science, machine learning, analytics"
CSCE 478,Introduction to Machine Learning,3,"computer science, machine learning, ai, artificial intelligence, data"
CSCE 486,Computer Science Professional Development,3,"computer science, professional development, ethics, career"
CSCE 486H,Honors: Computer Science Professional Development,3,"computer science, honors, professional development, ethics"
CSCE 487,Senior Design Project,3,"computer science, design, project, computing, capstone"
CSCE 487H,Honors: Senior Design Project,3,"computer science, honors, design, project, computing, capstone"
CSCE 488,Computer Engineering Professional Development,3,"computer engineering, professional development, ethics, career"
CSCE 489,Computer Engineering Senior Design Project,3,"computer engineering, design, project, computing, capstone"
CSCE 489H,Honors: Computer Engineering Senior Design Project,3,"computer engineering, honors, design, project, computing, capstone"
CSCE 191,Special Topics,3,"computer science, special topics, computing"
CSCE 492,Special Topics: Digital Communication Systems,3,"computer science, communications, networks, advanced"
CSCE 492,Special Topics: Comput. Game Theory & Its Apps,3,"computer science, game theory, algorithms, advanced"
CSCE 492,Special Topics: Ethics of Autonomous Vehicle,3,"computer science, ethics, autonomous vehicles, advanced"
CSCE 493,Innovation Lab Project,3,"computer science, innovation, lab, project"
CSCE 493A,Interdisciplinary Capstone,3,"computer science, interdisciplinary, project, capstone"
CSCE 495,Internship: Computer Practice,3,"computer science, internship, career, application"
CSCE 498,Computer Problems,3,"computer science, research, independent study"
CSCE 810,Information Retrieval Systems,3,"computer science, graduate, information retrieval, search algorithms"
CSCE 821,Foundations of Constraint Processing,3,"computer science, graduate, constraints, algorithms, logic"
CSCE 823,Design and Analysis of Algorithms,3,"computer science, graduate, algorithms, design, analysis"
CSCE 830,Computer Architecture,3,"computer engineering, graduate, architecture, hardware"
CSCE 836,Advanced Embedded Systems,3,"computer engineering, graduate, embedded systems, hardware"
CSCE 851,Operating Systems Principles,3,"computer science, graduate, operating systems, software"
CSCE 855,Distributed Operating Systems,3,"computer science, graduate, distributed systems, operating systems"
CSCE 862,Communication Networks,3,"computer engineering, graduate, networks, communication"
CSCE 863,Data and Network Security,3,"computer science, graduate, cybersecurity, networks, data"
CSCE 864,Internet Systems and Programming,3,"computer science, graduate, internet, web development"
CSCE 868,Requirements Elicitation and Modeling,3,"computer science, graduate, software engineering, modeling"
CSCE 874,Introduction to Data Mining,3,"computer science, graduate, data mining, machine learning"
CSCE 878,Introduction to Machine Learning,3,"computer science, graduate, machine learning, ai"
CSCE 891,Internship,3,"computer science, graduate, internship, career"
CSCE 892,Special Topics,3,"computer science, graduate, special topics, advanced"
CSCE 897,Masters Project,3,"computer science, graduate, masters project, capstone"
CSCE 899,Masters Thesis,3,"computer science, graduate, thesis, research"
CSCE 915,Advanced Computational Linguistics,3,"computer science, doctoral, linguistics, nlp, advanced"
CSCE 924,Graph Algorithms,3,"computer science, doctoral, algorithms, theory, advanced"
CSCE 954,Advanced Wireless Communication and Networks,3,"computer science, doctoral, wireless, networks, advanced"
CSCE 962,Advanced Software Engineering,3,"computer science, doctoral, software engineering, advanced"
CSCE 990,Graduate Seminar,3,"computer science, graduate, seminar, research"
CSCE 991,Direct Doctoral Research,3,"computer science, doctoral, research"
CSCE 996,Research Other Than Thesis,3,"computer science, graduate, research"
CSCE 999,Doctoral Dissertation,3,"computer science, doctoral, dissertation, research"
RAIK 181H,Honors: Foundations of Accounting,3,"raikes, honors, accounting, business"
RAIK 182H,Honors: Foundations of Economics,3,"raikes, honors, economics, business"
RAIK 184H,Honors: Software Development,3,"raikes, honors, software development, programming"
RAIK 185H,Honors: Leadership I,3,"raikes, honors, leadership, management"
RAIK 186H,Honors: Leadership II,3,"raikes, honors, leadership, management"
RAIK 284H,Honors: Software Engineering IV,3,"raikes, honors, software engineering, development"
RAIK 370H,Honors: Data and Models II,3,"raikes, honors, data, models, analytics"
RAIK 371H,Honors: Data and Models III: Foundations,3,"raikes, honors, data, models, analytics"
RAIK 372H,Honors: Business Law,3,"raikes, honors, business law, ethics"
RAIK 381H,Honors: Fundamentals of Finance,3,"raikes, honors, finance, business"
RAIK 402H,Honors: Design Studio II,3,"raikes, honors, design studio, project, computing"
RAIK 404H,Honors: Design Studio IV,3,"raikes, honors, design studio, project, computing"
RAIK 406H,Honors: Research Studio II,3,"raikes, honors, research, studio, computing"
RAIK 476H,Honors: Business Strategies,3,"raikes, honors, business strategies, management"
SOFT 161,Software Engineering II,3,"software engineering, development, computing"
SOFT 261,Software Engineering IV,3,"software engineering, development, computing"
SOFT 403,Software Engineering Capstone I,3,"software engineering, design, project, capstone"
SOFT 404,Software Engineering Capstone II,3,"software engineering, design, project, capstone"
SOFT 404H,Honors: Software Engineering Capstone II,3,"software engineering, honors, design, project, capstone"
SOFT 468,Requirements Elicitation and Modeling,3,"software engineering, requirements, modeling, computing"
CSCE 10,Introduction to the School of Computing,3,"computer science, fundamentals, career, computing"
CSCE 155H,Honors: Computer Science I,3,"computer science, honors, programming, software development"
CSCE 399H,Honors Thesis,3,"computer science, honors, thesis, research, capstone"
CSCE 420,Introduction to Natural Language Processing,3,"computer science, nlp, artificial intelligence, linguistics, machine learning"
CSCE 479,Introduction to Deep Learning,3,"computer science, deep learning, artificial intelligence, neural networks, machine learning"
CSCE 492,Special Topics: UAVs,3,"computer science, uav, drones, robotics, hardware"
CSCE 801,Introduction to Programming,3,"computer science, graduate, programming, software"
CSCE 820,Introduction to Natural Language Processing,3,"computer science, graduate, nlp, artificial intelligence, machine learning"
CSCE 879,Introduction to Deep Learning,3,"computer science, graduate, deep learning, artificial intelligence, neural networks"
CSCE 898,Computer Problems,3,"computer science, graduate, research, independent study"
RAIK 405H,Honors: Research Studio I,3,"raikes, honors, research, studio, computing"
SOFT 162,Software Engineering Fundamentals,3,"software engineering, fundamentals, computing, development"
CSCE 291,Special Topics,3,"computer science, special topics, computing"
CSCE 292,Special Topics,3,"computer science, special topics, computing"
CSCE 310H,Honors: Data Structures and Algorithms,3,"computer science, honors, data structures, algorithms, programming"
CSCE 320,Data Analysis,3,"computer science, data analysis, statistics, analytics"
CSCE 336,Embedded Systems,3,"computer engineering, embedded systems, hardware, robotics"
CSCE 351,System Resource Management,3,"computer science, systems, resource management, hardware"
CSCE 377,Fundamentals of Cybersecurity,3,"computer science, cybersecurity, security, networks"
CSCE 378,Human-Computer Interaction,3,"computer science, hci, ui ux, design"
CSCE 378H,Honors: Human-Computer Interaction,3,"computer science, honors, hci, ui ux, design"
CSCE 386,Practice and Professional Development,3,"computer science, professional development, career, ethics"
CSCE 394,Independent Study Computing,3,"computer science, independent study, research"
CSCE 401H,Honors: Design Studio I,3,"raikes, honors, design studio, project, computing"
CSCE 403H,Honors: Design Studio III,3,"raikes, honors, design studio, project, computing"
CSCE 411,Data Modeling and Systems Development,3,"computer science, data modeling, databases, systems"
CSCE 413,Database Systems,3,"computer science, databases, sql, systems"
CSCE 415,Computational Linguistics,3,"computer science, linguistics, nlp, artificial intelligence"
CSCE 422,Introduction to Game Theory,3,"computer science, game theory, algorithms, math"
CSCE 425,Compiler Construction,3,"computer science, compilers, programming languages, theory"
CSCE 428,"Automata, Computation, and Formal Languages",3,"computer science, automata, computation, theory, logic"
CSCE 438,Internet of Things,3,"computer engineering, iot, networks, hardware"
CSCE 440,Numerical Analysis I,3,"computer science, numerical analysis, math, algorithms"
CSCE 443,Cybersecurity: Big Data and Cloud,3,"computer science, cybersecurity, big data, cloud computing"
CSCE 454,Human-Robot Interaction,3,"computer science, robotics, hci, artificial intelligence"
CSCE 458,Molecular and Nano Communication,3,"computer engineering, nanotechnology, networks, hardware"
CSCE 465,Wireless Communication Networks,3,"computer engineering, wireless, networks, communication"
CSCE 467,"Testing, Verification and Analysis",3,"computer science, software testing, quality assurance, engineering"
CSCE 469,Secure Software Engineering,3,"computer science, secure software, cybersecurity, software engineering"
CSCE 471,Computational Methods in Bioinformatics,3,"computer science, bioinformatics, computational biology, data"
