user_id,visited,date,rating,review
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,NEST Tutoring,2026-02-14 10:19,2,Tutor seemed a bit rushed today.
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,Selleck Building,2026-01-31 03:28,,
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,Aerospace Club,2026-02-17 05:05,,
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,Coding Club,2026-02-28 08:18,2,Meeting started 20 minutes late.
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,North 17th Parking Garage,2026-02-07 12:25,4,Easy in and out today.
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,Love Library,2026-02-14 19:23,1,"Too busy, had to leave."
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,Astronomy Club,2026-02-12 00:32,3,Basically just listened to a lecture.
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,North 17th Parking Garage,2026-02-24 04:57,,
610b3f6c-1e79-45bd-bce3-4cdc5209ee08,Aerospace Club,2026-02-26 18:42,3,Basically just listened to a lecture.
bed55d81-11d7-4032-a580-62bc12dd1a6f,Love Library,2026-02-22 09:57,,
bed55d81-11d7-4032-a580-62bc12dd1a6f,Cather Dining Hall,2026-02-07 07:02,,
bed55d81-11d7-4032-a580-62bc12dd1a6f,Math Resource Center,2026-02-24 05:21,,
bed55d81-11d7-4032-a580-62bc12dd1a6f,Aerospace Club,2026-02-05 08:54,1,Meeting started 20 minutes late.
bed55d81-11d7-4032-a580-62bc12dd1a6f,Love Library,2026-01-30 17:26,,
bed55d81-11d7-4032-a580-62bc12dd1a6f,Aerospace Club,2026-02-24 10:34,,
5d9b209d-d65f-4506-93a1-782320adebf9,Math Resource Center,2026-02-24 08:55,4,Life-saver before my midterm.
5d9b209d-d65f-4506-93a1-782320adebf9,Aerospace Club,2026-02-28 12:51,3,Basically just listened to a lecture.
5d9b209d-d65f-4506-93a1-782320adebf9,NEST Tutoring,2026-01-31 14:55,,
5d9b209d-d65f-4506-93a1-782320adebf9,Coding Club,2026-02-08 14:47,,
5d9b209d-d65f-4506-93a1-782320adebf9,Selleck Building,2026-02-04 16:13,2,Tables were completely dirty.
5d9b209d-d65f-4506-93a1-782320adebf9,Cather Dining Hall,2026-02-07 16:37,4,Great salad bar options.
5d9b209d-d65f-4506-93a1-782320adebf9,NEST Tutoring,2026-02-25 03:17,,
5d9b209d-d65f-4506-93a1-782320adebf9,Cather Dining Hall,2026-01-30 05:50,2,Food was cold.
5d9b209d-d65f-4506-93a1-782320adebf9,14th St Parking Garage,2026-02-13 07:25,,
5d9b209d-d65f-4506-93a1-782320adebf9,North 17th Parking Garage,2026-02-12 18:31,,
5d9b209d-d65f-4506-93a1-782320adebf9,14th St Parking Garage,2026-02-08 05:15,3,Had to park all the way on the roof.
5d9b209d-d65f-4506-93a1-782320adebf9,14th St Parking Garage,2026-02-23 00:54,3,People drive like maniacs in here.
f960b837-8ffa-44fb-ba10-d69983c378c0,Selleck Building,2026-02-06 00:33,2,They ran out of the good stuff.
f960b837-8ffa-44fb-ba10-d69983c378c0,Math Resource Center,2026-02-14 21:36,,
f960b837-8ffa-44fb-ba10-d69983c378c0,DLC Exam Commons,2026-02-01 20:48,2,Line to get in was insane.
f960b837-8ffa-44fb-ba10-d69983c378c0,Coding Club,2026-02-13 15:15,,
f960b837-8ffa-44fb-ba10-d69983c378c0,CSCE Resource Center,2026-02-10 11:36,1,Too crowded to get one-on-one help.
f960b837-8ffa-44fb-ba10-d69983c378c0,Math Resource Center,2026-02-26 09:18,3,Tutor seemed a bit rushed today.
f960b837-8ffa-44fb-ba10-d69983c378c0,DLC Exam Commons,2026-02-07 15:19,5,Got checked in immediately.
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Selleck Building,2026-02-04 12:42,,
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Avery Hall,2026-02-17 04:49,,
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Astronomy Club,2026-02-11 07:37,5,Really cool project demo today.
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,CSCE Resource Center,2026-02-16 22:27,,
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Aerospace Club,2026-02-15 09:00,3,Topic wasn't what I expected.
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Cather Dining Hall,2026-02-13 05:09,5,Great salad bar options.
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Avery Hall,2026-02-25 11:10,,
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Astronomy Club,2026-02-14 18:48,4,Really welcoming group of people!
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,CSCE Resource Center,2026-02-19 09:32,,
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Love Library,2026-02-01 19:18,,
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,Love Library,2026-02-05 23:31,,
119c68dc-9fa7-40a6-a6a9-7077a7bbcbdf,14th St Parking Garage,2026-02-26 12:49,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,Aerospace Club,2026-02-11 14:29,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,Love Library,2026-02-28 10:54,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,East Campus,2026-02-25 13:24,3,Missed the bus back to city campus.
c28c1e5f-575a-44a7-8291-dd40b721e84e,Cather Dining Hall,2026-02-22 09:05,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,Selleck Building,2026-02-27 02:08,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,Love Library,2026-02-25 04:54,5,Super productive vibe today.
c28c1e5f-575a-44a7-8291-dd40b721e84e,Aerospace Club,2026-02-09 06:27,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,Aerospace Club,2026-02-22 16:46,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,Astronomy Club,2026-02-10 18:55,,
c28c1e5f-575a-44a7-8291-dd40b721e84e,Love Library,2026-02-17 04:17,1,"Way too loud, couldn't focus."
3cd02299-7586-4625-a0f7-1012bb0af873,Math Resource Center,2026-02-09 12:55,,
3cd02299-7586-4625-a0f7-1012bb0af873,North 17th Parking Garage,2026-02-25 21:01,3,Complete gridlock trying to leave.
3cd02299-7586-4625-a0f7-1012bb0af873,CSCE Resource Center,2026-01-30 04:32,3,Wait time was over 30 minutes.
3cd02299-7586-4625-a0f7-1012bb0af873,NEST Tutoring,2026-02-22 06:13,,
3cd02299-7586-4625-a0f7-1012bb0af873,Math Resource Center,2026-02-05 06:52,,
3cd02299-7586-4625-a0f7-1012bb0af873,NEST Tutoring,2026-02-02 18:25,2,Didn't really answer my specific question.
3cd02299-7586-4625-a0f7-1012bb0af873,14th St Parking Garage,2026-02-23 10:32,5,Plenty of open spaces this morning.
3cd02299-7586-4625-a0f7-1012bb0af873,Coding Club,2026-02-16 19:28,,
3cd02299-7586-4625-a0f7-1012bb0af873,North 17th Parking Garage,2026-02-16 18:21,,
4e4f2ea6-6768-4014-a392-eb104b2bacc0,14th St Parking Garage,2026-02-08 03:08,,
4e4f2ea6-6768-4014-a392-eb104b2bacc0,DLC Exam Commons,2026-02-26 00:32,,
4e4f2ea6-6768-4014-a392-eb104b2bacc0,North 17th Parking Garage,2026-02-23 14:45,,
4e4f2ea6-6768-4014-a392-eb104b2bacc0,North 17th Parking Garage,2026-02-06 19:01,2,People drive like maniacs in here.
4e4f2ea6-6768-4014-a392-eb104b2bacc0,Coding Club,2026-02-04 11:12,3,Felt a bit disorganized today.
4e4f2ea6-6768-4014-a392-eb104b2bacc0,Selleck Building,2026-02-13 04:48,,
4e4f2ea6-6768-4014-a392-eb104b2bacc0,Coding Club,2026-02-20 06:32,4,Free pizza was a massive plus.
4e4f2ea6-6768-4014-a392-eb104b2bacc0,Love Library,2026-02-06 05:28,,
4e4f2ea6-6768-4014-a392-eb104b2bacc0,Cather Dining Hall,2026-02-17 11:54,,
f3678311-f7d7-426e-a0f3-a389acbc108f,Selleck Building,2026-02-03 21:04,5,The pizza was fresh out of the oven.
f3678311-f7d7-426e-a0f3-a389acbc108f,Astronomy Club,2026-02-22 07:13,,
f3678311-f7d7-426e-a0f3-a389acbc108f,CSCE Resource Center,2026-02-23 09:13,5,"Great session, finally understand the concepts."
f3678311-f7d7-426e-a0f3-a389acbc108f,East Campus,2026-02-19 09:16,,
f3678311-f7d7-426e-a0f3-a389acbc108f,Love Library,2026-02-10 05:07,4,Perfect lighting and fast Wi-Fi.
f3678311-f7d7-426e-a0f3-a389acbc108f,Selleck Building,2026-02-16 19:56,,
f3678311-f7d7-426e-a0f3-a389acbc108f,Coding Club,2026-02-11 09:01,,
b5ef2bed-796f-40d5-bf0a-5d9341e1c464,North 17th Parking Garage,2026-02-14 11:24,,
b5ef2bed-796f-40d5-bf0a-5d9341e1c464,Aerospace Club,2026-02-04 17:13,,
b5ef2bed-796f-40d5-bf0a-5d9341e1c464,Cather Dining Hall,2026-02-14 23:36,5,Great salad bar options.
b5ef2bed-796f-40d5-bf0a-5d9341e1c464,Coding Club,2026-02-08 21:01,,
b5ef2bed-796f-40d5-bf0a-5d9341e1c464,Love Library,2026-02-17 00:20,,
b5ef2bed-796f-40d5-bf0a-5d9341e1c464,Avery Hall,2026-02-28 01:08,3,The Wi-Fi kept dropping.
b5ef2bed-796f-40d5-bf0a-5d9341e1c464,East Campus,2026-02-19 12:39,2,Bus ride took forever today.
